"";"antygona";"duma_i_uprzedzenie";"dziewczyna_z_tatuazem";"gra_o_tron";"jane_eyre";"kod_da_vinci";"komunikacja_radiowa_w_locie";"miecz_prawdy";"milczenie_owiec";"procedury_bezpieczenstwa_w_locie";"procedury_boeing_737";"przygotowanie_do_startu_i_ladowania";"romeo";"sklep_z_porcelana";"trzy_siostry";"wesele";"wiedzmin";"wladca_pierscieni";"zakochani_w_rzymie";"zlodziejka_ksiazek"
"akcja";1;0;3;3;0;2;0;1;1;0;0;0;0;1;1;1;1;0;0;1
"główny";0;1;0;1;1;1;0;1;1;0;0;0;0;2;1;1;1;1;0;0
"historia";1;2;3;3;1;8;0;1;1;0;0;0;1;0;0;4;0;3;1;4
"inny";1;0;0;1;0;0;7;0;1;2;3;7;0;2;2;1;2;2;1;0
"między";2;1;0;1;1;0;1;1;0;0;2;0;0;0;0;3;6;1;0;1
"miejsce";0;0;1;1;1;1;0;0;1;1;0;0;1;0;1;0;1;2;0;0
"odkrywać";0;0;8;0;2;10;0;4;2;0;0;0;1;1;0;0;2;1;0;2
"podczas";0;0;4;1;0;2;2;1;1;5;0;2;0;1;0;0;0;4;1;0
"rozpoczynać";0;0;1;2;0;1;1;0;1;0;0;1;0;0;1;0;1;1;0;1
"streszczenie";1;0;1;0;0;1;1;0;1;1;1;1;0;0;1;1;0;0;0;1
"swojej";1;1;3;1;1;2;0;1;0;0;0;0;1;2;0;0;0;1;0;0
"własny";3;0;3;1;0;1;0;1;5;1;1;0;0;3;0;0;1;1;1;1
"zostawać";1;1;3;1;1;3;0;0;2;0;0;1;1;1;1;2;2;4;1;2
"życie";2;1;1;0;3;0;0;1;1;0;0;0;0;4;9;0;1;0;2;1
